Ensembl,logFC,FDR,SYMBOL
ENSG00000121410,-0.783846427,0.001060216,A1BG
ENSG00000175899,5.353993989,2.69E-19,A2M
ENSG00000094914,0.297418212,0.005977354,AAAS
ENSG00000081760,-0.728145436,1.08E-11,AACS
ENSG00000109576,-0.912884258,4.59E-10,AADAT
ENSG00000103591,0.474813561,0.000125551,AAGAB
ENSG00000115977,-0.32718722,0.016053435,AAK1
ENSG00000087884,1.086787569,9.04E-10,AAMDC
ENSG00000127837,0.23477517,0.052385257,AAMP
ENSG00000131043,-0.286997602,0.011084993,AAR2
ENSG00000090861,0.185357495,0.179822679,AARS1
ENSG00000124608,-0.104585725,0.382911232,AARS2
ENSG00000266967,-0.466871758,0.056771933,AARSD1
ENSG00000157426,0.254277399,0.03157511,AASDH
ENSG00000149313,-0.077012367,0.554962939,AASDHPPT
ENSG00000008311,0.137379656,0.232217272,AASS
ENSG00000275700,0.098383329,0.474585509,AATF
ENSG00000181409,-1.503887719,1.64E-23,AATK
ENSG00000183044,-0.468633544,8.30E-05,ABAT
ENSG00000165029,0.558880347,0.000144911,ABCA1
ENSG00000154263,-2.467501292,1.04E-18,ABCA10
ENSG00000144452,2.052029561,1.03E-14,ABCA12
ENSG00000179869,3.352307531,5.71E-56,ABCA13
ENSG00000107331,-0.154878107,0.284346061,ABCA2
ENSG00000167972,-0.257268598,0.04473136,ABCA3
ENSG00000198691,2.022192188,2.45E-09,ABCA4
ENSG00000154265,-0.421048456,0.011172495,ABCA5
ENSG00000154262,-2.190341007,2.67E-10,ABCA6
ENSG00000064687,-0.092562728,0.49292301,ABCA7
ENSG00000141338,1.813858638,8.82E-32,ABCA8
ENSG00000154258,1.813427608,8.21E-10,ABCA9
ENSG00000135776,-0.334587338,0.008575813,ABCB10
ENSG00000073734,0.491310287,0.100314321,ABCB11
ENSG00000115657,-0.687004386,0.001897043,ABCB6
ENSG00000131269,-0.090714118,0.439932359,ABCB7
ENSG00000197150,-0.118647491,0.349396122,ABCB8
ENSG00000150967,-0.510084184,6.42E-05,ABCB9
ENSG00000103222,0.13830753,0.351274579,ABCC1
ENSG00000124574,0.069418209,0.580021367,ABCC10
ENSG00000023839,-0.569546242,0.035120463,ABCC2
ENSG00000125257,0.493735415,0.000171225,ABCC4
ENSG00000114770,-0.491363549,0.000255892,ABCC5
ENSG00000006071,-0.559862227,0.046457266,ABCC8
ENSG00000069431,1.42082351,4.03E-11,ABCC9
ENSG00000101986,0.524095809,0.002504741,ABCD1
ENSG00000173208,-1.111747591,2.04E-10,ABCD2
ENSG00000117528,0.154219217,0.17910512,ABCD3
ENSG00000119688,-0.008361057,0.954356417,ABCD4
ENSG00000164163,-0.179259464,0.11258872,ABCE1
ENSG00000204574,-0.035248728,0.793595534,ABCF1
ENSG00000033050,0.306766701,0.036005755,ABCF2
ENSG00000161204,0.112529617,0.43751018,ABCF3
ENSG00000160179,1.24642428,1.58E-24,ABCG1
ENSG00000172350,-1.483282898,1.88E-15,ABCG4
