Gene,NDC,DSIPS,THO3B,THO3F
ENSG00000223972,6,7,1,9
ENSG00000227232,19,34,38,44
ENSG00000243485,0,0,0,0
ENSG00000237613,0,0,0,0
ENSG00000268020,0,0,0,0
ENSG00000240361,0,0,0,0
ENSG00000186092,0,0,0,0
ENSG00000238009,0,0,0,0
ENSG00000239945,0,0,0,0
ENSG00000233750,1,0,0,2
ENSG00000237683,20,20,20,33
ENSG00000268903,0,0,0,0
ENSG00000269981,0,0,0,0
ENSG00000239906,0,0,0,0
ENSG00000241860,22,25,28,25
ENSG00000222623,0,0,0,0
ENSG00000241599,0,0,0,1
ENSG00000228463,3,12,3,3
ENSG00000241670,0,0,0,0
ENSG00000237094,26,14,1,2
ENSG00000250575,0,0,0,0
ENSG00000233653,0,0,0,0
ENSG00000224813,0,0,0,0
ENSG00000235249,0,0,0,0
ENSG00000269732,0,0,0,0
ENSG00000256186,0,0,0,0
ENSG00000236601,0,0,0,0
ENSG00000236743,0,0,0,0
ENSG00000236679,0,0,0,0
ENSG00000231709,1,4,0,0
ENSG00000235146,0,0,0,0
ENSG00000239664,0,0,0,0
ENSG00000230021,0,0,0,0
ENSG00000223659,0,0,0,0
ENSG00000225972,3,4,1,0
ENSG00000225630,237,194,153,106
ENSG00000237973,138,111,155,135
ENSG00000229344,3,10,6,4
ENSG00000240409,0,0,0,0
ENSG00000248527,709,743,597,643
ENSG00000198744,10,11,8,9
ENSG00000268663,0,0,0,0
ENSG00000185097,0,0,0,0
ENSG00000229376,6,4,3,0
ENSG00000224956,4,3,1,0
ENSG00000235373,26,23,20,23
ENSG00000223181,1,1,0,0
ENSG00000240618,0,0,0,0
ENSG00000229905,1,0,1,0
ENSG00000228327,10,6,16,18
ENSG00000237491,67,45,54,34
ENSG00000230092,4,1,2,3
ENSG00000269831,2,3,0,0
ENSG00000240453,0,0,0,0
ENSG00000177757,26,21,18,14
ENSG00000225880,61,36,43,30
ENSG00000228794,776,551,794,664
ENSG00000230368,2,0,0,0
ENSG00000234711,4,0,2,1
ENSG00000269308,0,0,0,0
ENSG00000272438,85,95,188,99
ENSG00000230699,682,613,1452,625
ENSG00000241180,3,10,13,12
ENSG00000223764,794,608,1798,653
ENSG00000187634,127,106,962,137
ENSG00000268179,4,5,9,0
ENSG00000188976,4271,2386,3686,3183
ENSG00000187961,1575,1093,1277,930
ENSG00000187583,27,19,14,8
ENSG00000187642,10,8,7,3
ENSG00000272512,745,913,469,435
ENSG00000188290,2037,2470,1747,1317
ENSG00000231702,31,49,19,34
ENSG00000224969,51,72,41,27
ENSG00000187608,193,246,218,216
ENSG00000188157,19377,18956,21251,12194
ENSG00000242590,0,0,0,0
ENSG00000217801,119,144,234,116
ENSG00000273443,1,6,12,11
ENSG00000237330,16,3,3,4
ENSG00000131591,1328,835,1304,919
ENSG00000223823,3,0,0,1
ENSG00000207730,0,0,1,0
ENSG00000207607,0,0,0,0
ENSG00000198976,0,0,0,0
ENSG00000272141,0,0,0,0
ENSG00000205231,1,2,11,7
ENSG00000162571,14,4,40,13
ENSG00000186891,8,15,6,4
ENSG00000186827,9,3,8,5
ENSG00000078808,3675,2934,4681,3231
ENSG00000176022,1304,1076,1998,1585
ENSG00000184163,107,143,123,99
ENSG00000260179,40,54,31,27
ENSG00000160087,2068,1672,1949,1673
ENSG00000230415,157,117,198,115
ENSG00000162572,965,623,1040,642
ENSG00000131584,9258,6982,9083,8449
ENSG00000169972,513,351,458,430
ENSG00000127054,5878,4038,5415,4223
ENSG00000240731,157,86,134,119
ENSG00000224051,957,762,989,785
ENSG00000169962,401,289,380,244
ENSG00000107404,4035,2671,3628,2912
ENSG00000162576,610,695,1125,466
ENSG00000175756,1366,1089,1401,1086
ENSG00000223663,1,4,1,5
ENSG00000221978,9526,8307,10128,7929
ENSG00000224870,1363,1038,1446,1321
ENSG00000242485,1682,1210,1556,1326
ENSG00000264293,0,0,0,0
ENSG00000272455,198,157,168,121
ENSG00000235098,62,53,110,48
ENSG00000225905,6,5,7,2
ENSG00000205116,1,4,2,1
ENSG00000225285,29,12,27,13
ENSG00000179403,811,457,995,488
ENSG00000215915,13,9,14,8
ENSG00000160072,1903,1799,2405,1515
ENSG00000197785,748,399,704,585
ENSG00000205090,246,171,271,201
ENSG00000160075,2423,2001,2273,2051
ENSG00000215791,0,0,0,0
ENSG00000215014,51,57,36,38
ENSG00000236684,2,0,0,0
ENSG00000228594,594,260,480,205
ENSG00000272106,1042,901,1241,1048
