sample,group,isogenic_pair,cell_line,cell_type,genotype,batch,protocol,seq_tech
C9_P7_1,CON,C9_C13,C9,iNPC,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_P7_2,CON,C9_C13,C9,iNPC,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_P7_3,CON,C9_C13,C9,iNPC,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_NT_2,CON,C9_C13,C9,iNPC,CON,WL037,DN,bulk_RNAseq_BGI
C9_NT_3,CON,C9_C13,C9,iNPC,CON,WL037,DN,bulk_RNAseq_BGI
C9-1,CON,C9_C13,C9,iNPC,CON,BGI4C1P1,LI,bulk_RNAseq_BGI
C9-1_NPC,CON,C9_C13,C9,iNPC,CON,BGI4C1P2,LI,bulk_RNAseq_BGI
C9-2,CON,C9_C13,C9,iNPC,CON,BGI4C23P1,LI,bulk_RNAseq_BGI
C9-2_NPC,CON,C9_C13,C9,iNPC,CON,BGI4C23P2,LI,bulk_RNAseq_BGI
DS2U_P8_1,CON,DS2U_DS1,DS2U,iNPC,CON,LILAC1,SCZ,bulk_RNAseq_Singleron
DS2U_P8_2,CON,DS2U_DS1,DS2U,iNPC,CON,LILAC1,SCZ,bulk_RNAseq_Singleron
DS2U_P8_3,CON,DS2U_DS1,DS2U,iNPC,CON,LILAC1,SCZ,bulk_RNAseq_Singleron
DS2U_P8_4,CON,DS2U_DS1,DS2U,iNPC,CON,LILAC1,SCZ,bulk_RNAseq_Singleron
DS2U_NT_1,CON,DS2U_DS1,DS2U,iNPC,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_NT_2,CON,DS2U_DS1,DS2U,iNPC,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_NT_3,CON,DS2U_DS1,DS2U,iNPC,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_NT_4,CON,DS2U_DS1,DS2U,iNPC,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
C13_P7_1,DS,C9_C13,C13,iNPC,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_P7_2,DS,C9_C13,C13,iNPC,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_P7_3,DS,C9_C13,C13,iNPC,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_NT_1,DS,C9_C13,C13,iNPC,DS,WL037,DN,bulk_RNAseq_BGI
C13_NT_2,DS,C9_C13,C13,iNPC,DS,WL037,DN,bulk_RNAseq_BGI
C13_NT_3,DS,C9_C13,C13,iNPC,DS,WL037,DN,bulk_RNAseq_BGI
C13-1_8522509006577,DS,C9_C13,C13,iNPC,DS,BGI4C1P1,LI,bulk_RNAseq_BGI
C13-1_8522509006588,DS,C9_C13,C13,iNPC,DS,BGI4C1P2,LI,bulk_RNAseq_BGI
C13-3_8522509006599,DS,C9_C13,C13,iNPC,DS,BGI4C23P1,LI,bulk_RNAseq_BGI
C13-3_8522509006610,DS,C9_C13,C13,iNPC,DS,BGI4C23P2,LI,bulk_RNAseq_BGI
DS1_P6_1,DS,DS2U_DS1,DS1,iNPC,DS,LILAC1,SCZ,bulk_RNAseq_Singleron
DS1_P6_2,DS,DS2U_DS1,DS1,iNPC,DS,LILAC1,SCZ,bulk_RNAseq_Singleron
DS1_P6_3,DS,DS2U_DS1,DS1,iNPC,DS,LILAC1,SCZ,bulk_RNAseq_Singleron
DS1_P6_4,DS,DS2U_DS1,DS1,iNPC,DS,LILAC1,SCZ,bulk_RNAseq_Singleron
DS1_NT_1,DS,DS2U_DS1,DS1,iNPC,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_NT_2,DS,DS2U_DS1,DS1,iNPC,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_NT_3,DS,DS2U_DS1,DS1,iNPC,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_NT_4,DS,DS2U_DS1,DS1,iNPC,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
C9_D31_1,CON,C9_C13,C9,iNEU,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_D31_2,CON,C9_C13,C9,iNEU,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_D31_3,CON,C9_C13,C9,iNEU,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9N061224-4W-V-1,CON,C9_C13,C9,iNEU,CON,N061224,DN,bulk_RNAseq_Singleron
C9N061224-4W-V-2,CON,C9_C13,C9,iNEU,CON,N061224,DN,bulk_RNAseq_Singleron
C9N061224-4W-V-3,CON,C9_C13,C9,iNEU,CON,N061224,DN,bulk_RNAseq_Singleron
C9N161224-4W-V-1,CON,C9_C13,C9,iNEU,CON,N161224,DN,bulk_RNAseq_Singleron
C9N161224-4W-V-2,CON,C9_C13,C9,iNEU,CON,N161224,DN,bulk_RNAseq_Singleron
DS2U_D31_1,CON,DS2U_DS1,DS2U,iNEU,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_D31_2,CON,DS2U_DS1,DS2U,iNEU,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_D31_3,CON,DS2U_DS1,DS2U,iNEU,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
C13_D31_1,DS,C9_C13,C13,iNEU,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_D31_2,DS,C9_C13,C13,iNEU,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_D31_3,DS,C9_C13,C13,iNEU,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13N061224-4W-V-1,DS,C9_C13,C13,iNEU,DS,N061224,DN,bulk_RNAseq_Singleron
C13N061224-4W-V-2,DS,C9_C13,C13,iNEU,DS,N061224,DN,bulk_RNAseq_Singleron
C13N061224-4W-V-3,DS,C9_C13,C13,iNEU,DS,N061224,DN,bulk_RNAseq_Singleron
C13N161224-4W-V-1,DS,C9_C13,C13,iNEU,DS,N161224,DN,bulk_RNAseq_Singleron
C13N161224-4W-V-2,DS,C9_C13,C13,iNEU,DS,N161224,DN,bulk_RNAseq_Singleron
C13N161224-4W-V-3,DS,C9_C13,C13,iNEU,DS,N161224,DN,bulk_RNAseq_Singleron
DS1_D31_1,DS,DS2U_DS1,DS1,iNEU,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_D31_3,DS,DS2U_DS1,DS1,iNEU,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_D31_2,DS,DS2U_DS1,DS1,iNEU,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
