cluster,cluster_name,cell_type,cell_class
12,AST_c12,AST,AST
11,RG_c11,RG,RG
5,RG_c5,RG,RG
3,RG_c3,RG,RG
10,RG_prol_c10,RG_prol,RG
9,IPC_prol_c9,IPC_prol,IPC
7,IPC_c7,IPC,IPC
1,NEU_CUX2_c1,NEU_CUX2,NEU_exc
0,NEU_CUX2_c0,NEU_CUX2,NEU_exc
4,NEU_RORB_c4,NEU_RORB,NEU_exc
2,NEU_TLE4_c2,NEU_TLE4,NEU_exc
6,NEU_SST_c6,NEU_SST,NEU_inh
15,NEU_SST_c15,NEU_SST,NEU_inh
8,NEU_CCK_c8,NEU_CCK,NEU_inh
13,NEU_RELN_c13,NEU_RELN,NEU_inh
14,LOW_c14,LOW,LOW
17,LOW_c17,LOW,LOW
18,LOW_c18,LOW,LOW
19,LOW_c19,LOW,LOW
20,LOW_c20,LOW,LOW
22,LOW_c22,LOW,LOW
24,LOW_c24,LOW,LOW
16,OPC_c16,OPC,OPC
21,MIC_c21,MIC,MIC
23,VASC_c23,VASC,VASC
