cluster,cluster_name,cell_type,cell_class
13,AST_s13,AST,AST
9,RG_s9,RG,RG
14,RG_s14,RG,RG
6,RG_s6,RG,RG
11,RG_prol_s11,RG_prol,RG
10,IPC_prol_s10,IPC_prol,IPC
4,IPC_s4,IPC,IPC
3,NEU_CUX2_s3,NEU_CUX2,NEU_exc
0,NEU_CUX2_s0,NEU_CUX2,NEU_exc
2,NEU_CUX2_s2,NEU_CUX2,NEU_exc
1,NEU_RORB_s1,NEU_RORB,NEU_exc
7,NEU_RORB_s7,NEU_RORB,NEU_exc
8,NEU_TLE4_s8,NEU_TLE4,NEU_exc
5,NEU_TLE4_s5,NEU_TLE4,NEU_exc
16,NEU_TLE4_s16,NEU_TLE4,NEU_exc
15,NEU_low_s15,NEU_low,NEU_low
17,NEU_low_s17,NEU_low,NEU_low
12,NEU_SST_s12,NEU_SST,NEU_inh
