Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
abind,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4-8,NA,R (>= 1.5.0),"methods, utils",NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ALL,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.44.0,NA,"R (>= 2.10), Biobase (>= 2.5.5)",NA,NA,rpart,NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
annotate,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.80.0,NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit,",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.2
AnnotationDbi,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.64.1,NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.2
AnnotationFilter,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.26.0,NA,R (>= 3.4.0),"utils, methods, GenomicRanges, lazyeval",NA,"BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db, rmarkdown",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
AnnotationHub,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.10.1,NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors, httr,
yaml, dplyr, interactiveDisplayBase",NA,"IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, GenomicFeatures, MSnbase, mzR,
Biostrings, CompoundDb, keras, ensembldb, SummarizedExperiment,
ExperimentHub, gdsfmt, rmarkdown, HubPub",AnnotationHubData,Artistic-2.0,NA,NA,NA,NA,yes,4.3.3
aod,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.3.3,NA,"R (>= 2.10), methods, stats",NA,NA,"MASS, boot, lme4",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
ape,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,5.8-1,NA,R (>= 3.2.0),"nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest",Rcpp,"gee, expm, igraph, phangorn, xml2",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
aplot,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2.5,NA,R (>= 4.1.0),"ggfun (>= 0.1.3), ggplot2, ggplotify, patchwork, magrittr,
methods, utils, yulab.utils (>= 0.1.9)",NA,ggtree,NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
ArchR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.2,NA,,"ggplot2, SummarizedExperiment, data.table, Matrix, rhdf5,
magrittr, S4Vectors (>= 0.9.25), BiocGenerics, Rcpp (>=
0.12.16), matrixStats, plyr, nabor, motifmatchr, chromVAR,
uwot, ggrepel, Rsamtools, gtable, gtools, stringr, grid,
gridExtra, Biostrings, ComplexHeatmap, GenomicRanges",Rcpp,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
