image,sample,group,stage_PCW,comments
250527_20X_SATB2_FOXP1_CTIP2_PCW16_CON_14940_001_merge.tif,B16C1,CON,16,
250527_20X_SATB2_FOXP1_CTIP2_PCW17_CON_14310__merge.tif,B17C2,CON,17,
250527_20X_SATB2_FOXP1_CTIP2_PCW17_CON_14559_001_merge.tif,B17C1,CON,17,
250527_20X_SATB2_FOXP1_CTIP2_PCW18_CON_16419_001_merge.tif,B18C1,CON,18,
250527_20X_SATB2_FOXP1_CTIP2_PCW18_CON_18189_001_merge.tif,B18C2,CON,18,
250514_20X_SATB2_FOXP1_CTIP2_PCW20_CON_15167_001_merge.tif,B20C1,CON,20,pilot staining
250527_20X_SATB2_FOXP1_CTIP2_PCW20_CON_17916_001_merge.tif,B20C2,CON,20,
250527_20X_SATB2_FOXP1_CTIP2_PCW16_DS_15877_001_merge.tif,B16D1,DS,16,
250527_20X_SATB2_FOXP1_CTIP2_PCW17_DS_15783_001_merge.tif,B17D2,DS,17,
250527_20X_SATB2_FOXP1_CTIP2_PCW17_DS_16070_001_merge.tif,B17D1,DS,17,
250527_20X_SATB2_FOXP1_CTIP2_PCW18_DS_16485_001_merge.tif,B18D1,DS,18,
250527_20X_SATB2_FOXP1_CTIP2_PCW18_DS_16545_001_merge.tif,B18D2,DS,18,
250527_20X_SATB2_FOXP1_CTIP2_PCW20_DS_15619_001_merge.tif,B20D1,DS,20,
