Ensembl,logFC,FDR,Symbol,Genename,Chromosome
ENSG00000176697,-2.105245966,8.85E-12,BDNF,brain derived neurotrophic factor,11
ENSG00000160233,2.547079589,1.96E-11,LRRC3,leucine rich repeat containing 3,21
ENSG00000047457,3.409598255,1.96E-11,CP,ceruloplasmin,3
ENSG00000135926,1.836956987,1.96E-11,TMBIM1,transmembrane BAX inhibitor motif containing 1,2
ENSG00000157617,1.209959285,1.49E-10,C2CD2,C2 calcium dependent domain containing 2,21
ENSG00000110799,1.64920441,1.49E-10,VWF,von Willebrand factor,12
ENSG00000182541,1.583735605,2.23E-10,LIMK2,LIM domain kinase 2,22
ENSG00000183255,1.296844737,3.11E-10,PTTG1IP,PTTG1 interacting protein,21
ENSG00000151929,2.107770425,3.11E-10,BAG3,BCL2 associated athanogene 3,10
ENSG00000214688,2.979634019,3.11E-10,C10orf105,chromosome 10 open reading frame 105,10
ENSG00000141736,1.34307172,6.63E-10,ERBB2,erb-b2 receptor tyrosine kinase 2,17
ENSG00000140853,2.095620246,8.95E-10,NLRC5,NLR family CARD domain containing 5,16
ENSG00000160255,2.630751818,1.03E-09,ITGB2,integrin subunit beta 2,21
ENSG00000092929,2.547160758,1.65E-09,UNC13D,unc-13 homolog D,17
ENSG00000106565,1.954487903,1.90E-09,TMEM176B,transmembrane protein 176B,7
ENSG00000275395,3.818851139,2.97E-09,FCGBP,Fc fragment of IgG binding protein,19
ENSG00000142089,2.009277743,3.39E-09,IFITM3,interferon induced transmembrane protein 3,11
ENSG00000107738,1.929283161,3.89E-09,VSIR,V-set immunoregulatory receptor,10
ENSG00000132793,2.182186077,7.43E-09,LPIN3,lipin 3,20
ENSG00000132470,2.133558369,7.43E-09,ITGB4,integrin subunit beta 4,17
ENSG00000018280,3.18253389,8.51E-09,SLC11A1,solute carrier family 11 member 1,2
ENSG00000147571,-2.235698057,9.51E-09,CRH,corticotropin releasing hormone,8
ENSG00000124440,1.610334903,1.04E-08,HIF3A,hypoxia inducible factor 3 subunit alpha,19
ENSG00000128340,2.120791344,1.31E-08,RAC2,Rac family small GTPase 2,22
ENSG00000160294,1.091999897,1.31E-08,MCM3AP,minichromosome maintenance complex component 3 associated protein,21
ENSG00000183570,1.29025796,1.31E-08,PCBP3,poly(rC) binding protein 3,21
ENSG00000072952,1.254227359,1.31E-08,MRVI1,murine retrovirus integration site 1 homolog,11
ENSG00000240583,2.738015848,1.31E-08,AQP1,aquaporin 1 (Colton blood group),7
ENSG00000013364,1.70767736,2.44E-08,MVP,major vault protein,16
ENSG00000082497,-1.514619369,2.69E-08,SERTAD4,SERTA domain containing 4,1
ENSG00000146192,1.709188065,3.37E-08,FGD2,"FYVE, RhoGEF and PH domain containing 2",6
ENSG00000125730,1.88577275,4.78E-08,C3,complement C3,19
ENSG00000152413,-1.27052,5.47E-08,HOMER1,homer scaffold protein 1,5
ENSG00000184988,1.533737465,7.41E-08,TMEM106A,transmembrane protein 106A,17
ENSG00000128274,2.045288518,7.72E-08,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",22
ENSG00000160208,0.994766255,9.84E-08,RRP1B,ribosomal RNA processing 1B,21
ENSG00000186866,1.451866865,1.01E-07,POFUT2,protein O-fucosyltransferase 2,21
ENSG00000133048,2.355028096,1.01E-07,CHI3L1,chitinase 3 like 1,1
ENSG00000185201,1.994637352,1.18E-07,IFITM2,interferon induced transmembrane protein 2,11
ENSG00000089159,1.77462439,1.34E-07,PXN,paxillin,12
ENSG00000160282,2.439072351,1.35E-07,FTCD,formimidoyltransferase cyclodeaminase,21
ENSG00000012779,2.181702598,1.66E-07,ALOX5,arachidonate 5-lipoxygenase,10
